"color","cut","clarity","price","city","depth","carat","table","x","y","z"
E,Ideal,VVS2,816,Zurich,60.8,0.31,57.0,4.36,4.39,2.66
G,Ideal,VS2,3434,Kimberly,61.2,0.74,56.0,5.82,5.85,3.57
F,Ideal,VS2,854,Surat,62.6,0.33,55.0,4.42,4.4,2.76
I,Ideal,VS2,5455,London,61.8,1.08,54.0,6.6,6.57,4.07
G,Ideal,SI1,2898,Dubai,62.3,0.79,57.0,5.9,5.85,3.66
H,Ideal,VVS2,776,Madrid,61.5,0.3,57.0,4.34,4.31,2.66
I,Ideal,VVS2,7887,Zurich,62.2,1.33,56.0,7.01,7.04,4.37
H,Very Good,SI1,1008,Kimberly,61.2,0.51,55.0,5.19,5.21,3.18
D,Ideal,SI2,1342,Surat,61.2,0.58,57.0,5.36,5.4,3.29
H,Ideal,VS2,7623,Tel Aviv,62.0,1.22,58.0,6.81,6.86,4.24
H,Good,VS2,2440,London,63.7,0.78,60.0,5.77,5.73,3.66
I,Ideal,VS1,11152,Surat,60.8,1.62,56.0,7.56,7.61,4.62
G,Ideal,VS2,14456,Antwerp,60.8,1.65,56.0,7.65,7.7,4.67
F,Very Good,VS1,1975,New York City,61.2,0.55,56.4,5.28,5.33,3.25
E,Ideal,SI1,9801,Dubai,60.7,1.64,55.0,7.67,7.64,4.65
E,Premium,VS2,658,New York City,62.5,0.3,59.0,4.27,4.3,2.68
D,Ideal,VS2,1076,Paris,61.7,0.41,56.0,4.81,4.78,2.96
D,Premium,VVS2,752,Antwerp,62.4,0.3,58.0,4.26,4.3,2.67
G,Premium,VS2,6121,Surat,59.6,1.1,60.0,6.72,6.7,4.0
I,Ideal,SI1,4401,Paris,63.3,1.03,57.0,6.37,6.46,4.06
J,Fair,VS2,416,Tel Aviv,64.8,0.3,58.0,4.24,4.16,2.72
I,Premium,SI1,4227,New York City,62.7,1.02,58.0,6.44,6.41,4.03
E,Premium,VS2,1915,London,61.8,0.56,56.0,5.31,5.28,3.27
F,Very Good,VS1,14976,Antwerp,62.6,1.51,57.0,7.25,7.29,4.55
I,Premium,SI1,4536,Surat,61.8,1.13,59.0,6.65,6.68,4.12
I,Ideal,SI1,589,Paris,61.9,0.34,57.0,4.48,4.44,2.76
H,Premium,SI2,4157,Luxembourg,58.8,1.16,61.0,6.93,6.84,4.05
F,Very Good,VS2,752,Kimberly,59.7,0.38,57.0,4.73,4.79,2.84
G,Premium,SI1,5105,Antwerp,60.5,1.03,60.0,6.52,6.48,3.93
E,Very Good,SI2,3715,Amsterdam,62.2,0.9,54.0,6.13,6.21,3.84
D,Very Good,SI1,1415,Las Vegas,62.8,0.5,58.0,5.02,5.05,3.16
F,Ideal,SI1,499,Tel Aviv,62.2,0.3,54.2,4.31,4.34,2.69
D,Ideal,VS1,2787,Zurich,61.5,0.64,56.0,5.54,5.55,3.41
F,Fair,SI2,2996,Surat,65.3,0.91,51.0,6.05,5.98,3.93
G,Premium,VVS1,10485,Luxembourg,60.4,1.24,59.0,7.02,7.01,4.24
I,Ideal,SI2,16329,Madrid,61.8,2.3,57.0,8.48,8.45,5.23
E,Ideal,VS1,603,Kimberly,61.6,0.27,56.0,4.17,4.14,2.56
J,Premium,VVS2,3864,Antwerp,59.6,1.0,61.0,6.4,6.36,3.8
G,Ideal,VS2,2443,Kimberly,62.9,0.71,56.0,5.73,5.68,3.59
E,Premium,SI1,810,Kimberly,60.8,0.36,59.0,4.59,4.56,2.78
D,Ideal,SI2,593,Surat,62.1,0.31,57.0,4.34,4.32,2.69
H,Ideal,SI1,3988,Antwerp,62.8,0.93,56.0,6.19,6.27,3.91
D,Good,VS2,652,London,61.8,0.33,61.0,4.4,4.44,2.73
G,Premium,SI2,9664,Surat,62.7,1.77,59.0,7.67,7.66,4.8
E,Ideal,SI2,5223,Tel Aviv,62.2,1.06,55.0,6.51,6.54,4.06
G,Ideal,SI2,5226,New York City,62.1,1.21,57.0,6.8,6.85,4.24
E,Ideal,VVS1,826,Kimberly,62.3,0.3,55.0,4.29,4.32,2.68
I,Ideal,VS2,6401,Surat,62.6,1.27,57.0,6.92,6.88,4.32
D,Very Good,SI2,4168,Amsterdam,62.4,0.92,60.0,6.21,6.25,3.89
I,Ideal,VS1,489,Madrid,61.9,0.31,54.0,4.34,4.38,2.7
H,Good,VS2,18561,Zurich,57.8,2.01,60.0,8.29,8.35,4.81
G,Ideal,VS1,14674,Surat,61.9,1.51,57.0,7.37,7.34,4.55
G,Very Good,VS2,18358,Luxembourg,60.5,1.83,59.0,7.89,7.99,4.8
F,Premium,VS1,933,Madrid,62.4,0.38,59.0,4.57,4.63,2.87
F,Premium,VVS2,445,Antwerp,61.3,0.23,59.0,3.94,3.99,2.43
I,Ideal,SI1,3610,Surat,62.1,0.92,55.0,6.24,6.29,3.89
D,Premium,SI1,12069,Antwerp,62.4,1.5,58.0,7.27,7.31,4.55
G,Very Good,VS1,645,Madrid,62.1,0.32,55.0,4.41,4.44,2.75
F,Ideal,SI2,4372,New York City,61.2,1.0,57.0,6.39,6.48,3.94
F,Very Good,VVS1,779,Kimberly,59.4,0.31,57.0,4.39,4.43,2.62
F,Good,SI2,1350,Paris,58.7,0.52,64.0,5.24,5.26,3.08
H,Ideal,SI2,14998,Paris,62.5,2.01,53.9,8.04,8.07,5.04
G,Ideal,VVS2,565,Surat,62.2,0.31,55.0,4.32,4.36,2.7
J,Very Good,SI1,2086,Las Vegas,61.0,0.77,59.0,5.94,5.99,3.64
H,Very Good,SI2,4537,London,59.8,1.13,59.0,6.75,6.82,4.06
D,Ideal,SI1,589,New York City,62.6,0.32,55.0,4.36,4.39,2.74
E,Premium,SI1,16957,Paris,61.2,2.07,58.0,8.24,8.19,5.03
G,Premium,VS2,2443,Kimberly,60.3,0.71,59.0,5.79,5.76,3.48
F,Ideal,VS2,7275,Kimberly,60.4,1.11,58.0,6.73,6.66,4.04
F,Premium,SI2,4541,Surat,61.1,1.02,59.0,6.45,6.41,3.93
H,Ideal,VS2,11636,London,61.5,1.56,56.0,7.5,7.46,4.6
I,Very Good,VS2,457,Amsterdam,61.6,0.34,56.0,4.47,4.51,2.76
G,Premium,SI2,3215,Amsterdam,62.7,0.96,60.0,6.29,6.11,3.89
D,Premium,VS2,942,New York City,62.3,0.31,55.0,4.35,4.32,2.7
G,Very Good,VS1,2060,Las Vegas,60.4,0.64,62.0,5.54,5.58,3.36
F,Premium,VVS1,7882,Kimberly,62.5,1.01,58.0,6.41,6.35,3.99
H,Ideal,VVS2,706,Antwerp,62.5,0.35,57.0,4.48,4.54,2.82
F,Premium,SI2,2373,Kimberly,62.5,0.7,60.0,5.66,5.61,3.52
H,Ideal,VS1,675,London,62.1,0.3,54.0,4.35,4.32,2.69
H,Ideal,VVS1,3137,Antwerp,61.1,0.71,56.0,5.78,5.81,3.53
G,Ideal,IF,871,Dubai,61.1,0.31,57.0,4.38,4.42,2.68
E,Ideal,I1,9072,Kimberly,61.4,2.25,54.0,8.52,8.46,5.21
I,Premium,SI1,5088,Las Vegas,62.8,1.18,56.0,6.74,6.71,4.22
G,Very Good,SI2,6409,Tel Aviv,63.2,1.22,58.0,6.82,6.76,4.29
G,Ideal,VS2,12830,Surat,62.8,1.72,57.0,7.65,7.58,4.78
F,Ideal,SI2,18394,Las Vegas,61.7,2.01,56.0,8.12,8.16,5.02
G,Premium,SI1,5581,Surat,60.1,1.03,60.0,6.55,6.52,3.93
F,Ideal,VS2,2671,Madrid,62.0,0.7,56.0,5.71,5.74,3.55
E,Good,SI1,5379,Amsterdam,64.3,1.01,59.0,6.23,6.28,4.02
H,Fair,VS1,5242,Paris,64.6,1.0,59.0,6.3,6.26,4.06
F,Ideal,VVS2,10487,Surat,61.2,1.1,56.0,6.66,6.74,4.1
D,Ideal,IF,4208,Surat,60.9,0.59,57.0,5.4,5.43,3.3
H,Very Good,VS2,608,Surat,63.5,0.3,59.0,4.27,4.2,2.69
E,Ideal,VS1,1930,New York City,61.3,0.56,55.0,5.29,5.32,3.25
F,Premium,SI1,3936,Amsterdam,61.7,0.9,62.0,6.19,6.13,3.8
E,Very Good,VS2,1732,Madrid,60.7,0.57,58.0,5.37,5.33,3.25
D,Ideal,SI2,2328,Luxembourg,61.2,0.72,57.0,5.76,5.8,3.54
H,Fair,SI1,3511,Kimberly,65.5,1.0,57.0,6.26,6.21,4.08
G,Ideal,VVS1,1043,Zurich,62.1,0.4,53.0,4.75,4.79,2.96
I,Premium,SI2,4831,Amsterdam,62.3,1.22,58.0,6.8,6.85,4.25
G,Ideal,IF,8955,Madrid,62.3,1.02,57.0,6.43,6.5,4.03
H,Ideal,VS2,5625,New York City,61.8,1.08,56.0,6.59,6.55,4.06
G,Premium,IF,1052,Kimberly,60.8,0.33,58.0,4.46,4.42,2.7
E,Very Good,VVS2,1167,Amsterdam,59.8,0.42,56.0,4.9,4.92,2.94
F,Very Good,SI1,6597,Paris,62.8,1.36,53.0,7.05,7.1,4.45
F,Ideal,VS1,2088,London,62.1,0.58,56.0,5.38,5.32,3.32
G,Good,SI1,4964,London,63.6,1.02,58.0,6.34,6.39,4.05
E,Good,VS2,6937,Paris,57.4,1.19,60.0,6.9,7.0,3.99
D,Good,SI2,15394,Dubai,64.6,2.01,55.0,7.85,7.98,5.11
F,Very Good,SI2,4915,Luxembourg,63.1,1.15,63.0,6.67,6.57,4.18
D,Premium,SI2,2853,Amsterdam,60.0,0.79,60.0,6.07,6.03,3.63
D,Premium,VS2,842,Amsterdam,62.9,0.32,59.0,4.39,4.36,2.75
F,Ideal,VS2,749,Tel Aviv,61.6,0.31,56.0,4.38,4.35,2.69
F,Very Good,VS1,1813,Kimberly,61.0,0.54,58.0,5.24,5.25,3.2
D,Very Good,VS2,1627,Kimberly,62.8,0.5,60.0,5.02,5.08,3.17
H,Very Good,SI2,11416,Surat,62.3,1.86,57.0,7.82,7.85,4.88
H,Very Good,VS2,5447,Paris,60.9,1.04,58.0,6.5,6.6,3.99
G,Ideal,VS2,10581,Las Vegas,60.8,1.41,55.0,7.27,7.2,4.4
E,Ideal,SI1,499,Tel Aviv,61.6,0.3,54.0,4.32,4.35,2.67
H,Ideal,VS1,610,Antwerp,61.6,0.33,55.0,4.46,4.48,2.75
D,Ideal,SI1,6055,Zurich,62.7,1.06,54.0,6.55,6.52,4.1
I,Ideal,SI2,372,Kimberly,62.0,0.31,54.1,4.32,4.35,2.69
G,Good,SI1,3344,Antwerp,64.3,0.91,60.0,6.04,6.12,3.91
J,Very Good,SI1,2083,Tel Aviv,62.4,0.75,56.0,5.78,5.82,3.62
F,Very Good,IF,886,Surat,62.1,0.3,57.0,4.26,4.3,2.66
D,Ideal,VVS1,1582,Luxembourg,60.6,0.41,57.0,4.82,4.79,2.91
H,Premium,SI2,3083,Surat,59.4,1.01,62.0,6.47,6.43,3.83
G,Very Good,VVS1,7657,Tel Aviv,63.0,1.02,58.0,6.4,6.43,4.04
G,Ideal,VS1,527,Las Vegas,62.3,0.27,53.0,4.16,4.19,2.6
F,Very Good,SI1,2196,Madrid,62.6,0.7,56.0,5.66,5.72,3.56
I,Ideal,VS2,9297,Surat,62.3,1.51,57.0,7.28,7.37,4.56
J,Ideal,SI2,13703,Madrid,62.8,2.22,57.0,8.33,8.29,5.22
G,Premium,VS2,1422,London,62.7,0.54,58.0,5.21,5.25,3.28
D,Premium,SI2,5283,Amsterdam,58.9,1.23,58.0,6.99,6.97,4.11
E,Good,SI1,3795,London,63.9,0.9,57.0,6.12,6.08,3.9
F,Fair,SI1,2882,Madrid,56.6,0.88,65.0,6.39,6.32,3.6
G,Fair,SI2,2208,Paris,58.6,0.7,56.0,5.8,5.74,3.38
H,Premium,SI1,558,Zurich,62.7,0.31,58.0,4.34,4.31,2.71
G,Ideal,SI2,6371,Amsterdam,61.1,1.25,55.0,6.95,6.99,4.26
G,Premium,SI2,4242,Tel Aviv,59.1,1.01,59.0,6.55,6.51,3.86
F,Very Good,SI2,506,Surat,63.5,0.3,57.0,4.25,4.22,2.69
E,Very Good,VS1,487,London,59.5,0.28,59.0,4.29,4.35,2.57
F,Premium,SI2,1227,Kimberly,61.1,0.51,59.0,5.15,5.09,3.13
I,Ideal,VS2,1232,Surat,61.9,0.52,58.0,5.14,5.17,3.19
G,Premium,VVS1,2153,Zurich,59.2,0.52,58.0,5.31,5.28,3.14
D,Good,SI2,447,Kimberly,63.3,0.3,57.0,4.26,4.3,2.71
D,Very Good,SI1,1398,Kimberly,62.2,0.51,58.0,5.08,5.11,3.17
D,Premium,VVS2,1241,Zurich,62.8,0.42,59.0,4.76,4.73,2.98
H,Premium,VS2,14749,Kimberly,61.6,1.82,60.0,7.78,7.74,4.78
E,Very Good,VS2,2845,Surat,58.9,0.7,60.0,5.83,5.85,3.44
G,Ideal,VVS2,12207,New York City,62.3,1.37,55.5,7.05,7.14,4.43
G,Premium,SI2,4095,Luxembourg,62.7,1.0,59.0,6.3,6.36,3.97
G,Ideal,SI2,5722,Kimberly,61.1,1.2,57.0,6.83,6.86,4.18
E,Premium,VS1,7964,Antwerp,62.0,1.01,59.0,6.42,6.38,3.97
H,Ideal,SI1,1035,London,61.7,0.5,58.0,5.07,5.11,3.14
E,Premium,VS1,7744,Surat,60.4,1.0,59.0,6.51,6.54,3.94
F,Ideal,IF,1061,Las Vegas,61.4,0.31,56.0,4.38,4.41,2.7
D,Very Good,VS2,845,Amsterdam,63.3,0.4,58.0,4.63,4.66,2.94
G,Very Good,VS2,544,Madrid,62.3,0.32,55.0,4.38,4.41,2.73
F,Premium,VS2,14578,Surat,62.4,1.54,59.0,7.43,7.38,4.62
E,Premium,I1,2964,Amsterdam,61.4,1.05,58.0,6.53,6.46,3.99
G,Premium,VS2,5821,Las Vegas,61.9,1.05,59.0,6.56,6.52,4.05
G,Good,VS1,6028,Luxembourg,63.9,1.0,55.0,6.34,6.28,4.03
I,Very Good,VS1,608,Dubai,63.3,0.3,59.0,4.23,4.2,2.67
E,Very Good,VS2,658,Paris,62.4,0.3,57.0,4.24,4.26,2.65
G,Good,VVS2,7492,Kimberly,60.9,1.0,56.0,6.49,6.52,3.96
F,Premium,VS1,1092,Antwerp,60.6,0.39,55.0,4.77,4.73,2.88
G,Very Good,SI1,462,Surat,63.0,0.31,56.0,4.3,4.34,2.72
G,Premium,VS2,435,Amsterdam,61.8,0.31,58.0,4.35,4.39,2.7
F,Ideal,SI1,1646,London,61.5,0.6,58.0,5.38,5.41,3.32
G,Ideal,SI2,523,Tel Aviv,60.5,0.31,57.0,4.4,4.36,2.65
D,Very Good,VS2,710,Kimberly,62.6,0.3,61.0,4.22,4.25,2.65
G,Ideal,VVS1,1230,Surat,62.1,0.41,55.0,4.79,4.74,2.96
G,Premium,VS1,621,Antwerp,60.3,0.33,58.0,4.5,4.52,2.72
F,Very Good,VS1,2895,London,61.8,0.7,59.0,5.66,5.76,3.53
E,Very Good,VVS1,707,Las Vegas,62.1,0.28,57.0,4.17,4.21,2.6
I,Very Good,VS1,1995,Antwerp,63.3,0.7,55.0,5.64,5.6,3.56
D,Ideal,VS1,952,Surat,60.8,0.35,57.0,4.61,4.57,2.79
G,Ideal,SI1,5622,Kimberly,61.0,1.0,57.0,6.47,6.44,3.94
F,Premium,IF,4150,Paris,60.6,0.76,60.0,5.89,5.85,3.56
G,Fair,SI1,3634,Zurich,43.0,1.0,59.0,6.32,6.27,3.97
G,Very Good,SI1,4844,Surat,62.6,1.0,59.0,6.29,6.33,3.95
D,Good,SI2,4177,Dubai,57.6,1.03,58.0,6.6,6.67,3.82
F,Very Good,VVS2,576,Luxembourg,62.0,0.25,59.0,3.99,4.04,2.49
H,Ideal,VS2,5347,Kimberly,60.5,1.1,57.0,6.73,6.7,4.06
G,Ideal,VVS1,7708,Paris,61.7,1.03,56.0,6.45,6.56,4.0
J,Very Good,SI1,4173,Antwerp,63.3,1.14,55.0,6.6,6.67,4.2
D,Ideal,VS1,10144,Dubai,61.9,1.1,56.0,6.58,6.61,4.09
F,Premium,SI2,2351,Luxembourg,60.5,0.73,57.0,5.84,5.8,3.52
H,Ideal,VS1,2487,Surat,60.3,0.71,59.0,5.75,5.79,3.48
D,Good,VVS1,4407,Kimberly,61.0,0.7,61.0,5.69,5.72,3.48
G,Ideal,VVS1,12255,Antwerp,62.2,1.33,54.0,7.02,7.06,4.38
H,Premium,SI1,5506,Antwerp,62.0,1.15,58.0,6.77,6.66,4.16
F,Ideal,VVS1,2896,Zurich,61.6,0.53,56.0,5.18,5.24,3.21
F,Very Good,SI2,6149,New York City,61.1,1.3,58.0,6.98,7.02,4.28
F,Premium,VVS2,8693,New York City,61.3,1.05,59.0,6.56,6.48,4.0
G,Premium,VS2,1608,Paris,59.7,0.57,59.0,5.37,5.41,3.22
D,Very Good,SI1,1885,Las Vegas,62.8,0.63,57.0,5.4,5.46,3.41
E,Very Good,SI2,3638,Surat,60.3,0.91,59.0,6.28,6.25,3.78
D,Premium,VS2,8693,Kimberly,61.6,1.2,60.0,6.78,6.72,4.16
E,Premium,SI1,5077,Antwerp,63.0,1.01,61.0,6.42,6.37,4.03
H,Premium,SI1,5161,Zurich,59.3,1.05,58.0,6.65,6.61,3.93
F,Ideal,VS2,641,Kimberly,62.2,0.34,55.0,4.47,4.5,2.79
I,Premium,VS2,5439,Antwerp,61.7,1.19,57.0,6.84,6.77,4.2
D,Premium,SI1,1720,Surat,58.7,0.52,58.0,5.32,5.28,3.11
I,Good,SI2,942,Paris,63.6,0.53,58.0,5.08,5.11,3.24
E,Ideal,VS2,9625,Amsterdam,61.0,1.11,57.0,6.65,6.7,4.08
G,Ideal,IF,918,New York City,61.1,0.32,57.0,4.41,4.43,2.7
F,Ideal,VS2,807,Antwerp,61.5,0.36,55.0,4.6,4.57,2.82
F,Ideal,SI2,4454,Madrid,61.8,1.03,56.0,6.49,6.46,4.0
I,Premium,VS1,668,London,59.5,0.33,60.0,4.54,4.5,2.69
F,Very Good,VS2,2956,Paris,62.4,0.7,57.0,5.67,5.71,3.55
E,Ideal,VS2,900,London,62.0,0.32,55.0,4.46,4.38,2.74
H,Very Good,SI1,17476,Antwerp,60.1,2.01,60.0,8.25,8.2,4.94
G,Ideal,VS1,645,Las Vegas,61.2,0.32,56.0,4.39,4.43,2.7
G,Good,SI2,3246,London,64.1,0.9,56.0,6.12,6.08,3.91
F,Ideal,VS2,7781,Tel Aviv,61.0,1.08,57.0,6.61,6.68,4.06
H,Ideal,VVS1,907,Las Vegas,61.8,0.31,57.0,4.35,4.32,2.68
H,Premium,VS2,5241,Antwerp,61.8,1.02,58.0,6.49,6.43,3.99
E,Ideal,VS2,984,Surat,61.6,0.35,55.0,4.54,4.49,2.78
F,Ideal,SI1,586,Dubai,60.9,0.32,55.0,4.46,4.53,2.72
H,Premium,SI2,14659,Surat,62.6,2.53,60.0,8.66,8.55,5.39
E,Ideal,SI1,1668,Kimberly,61.4,0.55,55.0,5.29,5.26,3.24
H,Ideal,IF,2211,Kimberly,61.6,0.58,57.0,5.34,5.37,3.3
E,Premium,VS2,1622,Amsterdam,60.6,0.52,58.0,5.23,5.2,3.16
G,Good,VVS1,3380,Zurich,58.5,0.7,62.0,5.8,5.82,3.4
H,Ideal,VS2,1401,Paris,61.3,0.52,55.0,5.2,5.24,3.2
G,Ideal,VVS1,764,Las Vegas,62.7,0.3,54.0,4.3,4.34,2.71
F,Ideal,VS1,3041,New York City,61.7,0.71,55.0,5.73,5.77,3.55
G,Ideal,VVS2,917,Kimberly,62.6,0.4,53.0,4.72,4.77,2.97
J,Ideal,SI2,2611,Kimberly,61.6,1.02,55.0,6.49,6.43,3.98
F,Very Good,VVS2,810,New York City,62.5,0.33,59.0,4.4,4.47,2.77
F,Premium,SI2,4616,Surat,62.9,1.01,59.0,6.32,6.27,3.96
F,Very Good,VVS2,717,Surat,62.0,0.32,55.0,4.38,4.42,2.73
E,Very Good,VS2,14256,London,62.1,1.5,60.0,7.27,7.31,4.53
G,Good,VS2,6058,Kimberly,63.2,1.02,57.0,6.38,6.41,4.04
E,Ideal,IF,1129,Paris,61.9,0.33,57.0,4.41,4.45,2.74
D,Premium,SI1,2134,Kimberly,60.5,0.65,58.0,5.61,5.57,3.38
F,Ideal,IF,873,Dubai,59.8,0.3,58.0,4.37,4.46,2.64
G,Premium,SI2,5529,Luxembourg,60.3,1.21,58.0,6.96,6.9,4.18
I,Ideal,VVS2,2487,Kimberly,62.7,0.7,54.0,5.65,5.69,3.55
G,Premium,VS2,1443,Kimberly,61.3,0.51,59.0,5.17,5.11,3.15
D,Premium,VS2,16921,Antwerp,62.7,1.54,59.0,7.33,7.29,4.58
F,Very Good,SI1,792,Madrid,61.6,0.43,59.0,4.83,4.87,2.99
I,Premium,VVS1,780,Tel Aviv,61.9,0.33,60.0,4.44,4.41,2.74
I,Good,VVS1,3972,London,62.4,0.9,61.0,6.05,6.09,3.79
E,Very Good,SI1,1015,Amsterdam,63.2,0.41,56.0,4.74,4.72,2.99
G,Ideal,IF,871,Tel Aviv,61.9,0.31,56.0,4.33,4.35,2.68
F,Very Good,SI1,11650,Tel Aviv,58.8,1.54,60.0,7.54,7.59,4.45
G,Ideal,VS2,6709,New York City,62.5,1.04,57.0,6.49,6.46,4.05
E,Ideal,SI1,2054,Dubai,61.7,0.62,54.0,5.53,5.49,3.4
D,Very Good,SI1,4304,Antwerp,63.5,0.9,57.0,6.15,6.11,3.89
H,Ideal,VS1,651,Dubai,61.5,0.36,55.0,4.59,4.62,2.83
F,Ideal,VVS1,1114,Madrid,62.1,0.3,55.0,4.32,4.31,2.68
I,Premium,VS1,7722,Amsterdam,61.6,1.4,59.0,7.22,7.17,4.43
H,Very Good,SI2,10255,Antwerp,60.8,1.7,56.0,7.67,7.72,4.68
G,Ideal,VS1,666,Madrid,61.8,0.33,56.0,4.42,4.45,2.74
F,Ideal,VS1,7345,Kimberly,61.9,1.06,57.0,6.53,6.55,4.05
G,Very Good,SI1,702,Kimberly,59.2,0.4,61.0,4.78,4.81,2.84
J,Ideal,SI2,4624,Paris,60.1,1.1,57.0,6.77,6.74,4.06
H,Fair,VS2,3226,Kimberly,65.5,0.9,57.0,6.05,6.01,3.95
G,Premium,VVS2,730,Zurich,61.2,0.32,59.0,4.39,4.44,2.7
E,Ideal,VS1,1002,Tel Aviv,62.7,0.33,57.0,4.45,4.38,2.77
E,Very Good,SI1,2523,Luxembourg,63.3,0.73,60.0,5.65,5.7,3.59
